,text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
0,69,69,,,sexual anatomy / sexual acts,,,1.0,Mild
1,@55,ass,,,sexual anatomy / sexual acts,,,1.0,Mild
2,@ssfcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
3,@ssfucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
4,@ssfvcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
5,@sshole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
6,0ral seks,sex,,,sexual anatomy / sexual acts,,,1.0,Mild
7,0ral sex,sex,,,sexual anatomy / sexual acts,,,1.8,Strong
8,0rg@sm,orgasm,,,sexual anatomy / sexual acts,,,1.0,Mild
9,0rgasms,orgasm,,,sexual anatomy / sexual acts,,,1.0,Mild
10,3jakulating,ejaculation,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.6,Strong
11,4r5e,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
12,4r5ed,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
13,4r5es,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
14,4skin,foreskin,,,sexual anatomy / sexual acts,,,1.0,Mild
15,5h17,shit,,,bodily fluids / excrement,,,1.0,Mild
16,5h1t,shit,,,bodily fluids / excrement,,,1.0,Mild
17,5kank,skank,,,sexual orientation / gender,,,2.0,Strong
18,a_s_s,ass,,,sexual anatomy / sexual acts,,,1.0,Mild
22,anal,anal,,,sexual anatomy / sexual acts,,,1.0,Mild
23,anal hole,anal,,,sexual anatomy / sexual acts,,,2.2,Strong
24,anal hore,anal,,,sexual anatomy / sexual acts,,,2.4,Strong
25,anal pirate,anal,,,sexual anatomy / sexual acts,,,2.2,Strong
26,analingus,anal,,,sexual anatomy / sexual acts,,,1.6,Strong
27,analplug,anal,,,sexual anatomy / sexual acts,,,2.2,Strong
28,analplugs,anal,,,sexual anatomy / sexual acts,,,2.0,Strong
29,anilingus,anal,,,sexual anatomy / sexual acts,,,1.8,Strong
30,animal fucker,fuck,,,sexual anatomy / sexual acts,animal references,,3.0,Severe
31,anus,anus,,,sexual anatomy / sexual acts,,,1.0,Mild
32,anus plug,anus,,,sexual anatomy / sexual acts,,,2.0,Strong
33,ape shit,ape,shit,,bodily fluids / excrement,,,1.6,Strong
34,ape shite,ape,shit,,bodily fluids / excrement,animal references,,1.6,Strong
35,apeshit,ape,shit,,bodily fluids / excrement,racial / ethnic slurs,animal references,1.4,Mild
36,apeshite,ape,shit,,bodily fluids / excrement,racial / ethnic slurs,,1.4,Mild
37,ar5e,arse,,,sexual anatomy / sexual acts,,,1.0,Mild
38,ar5ehole,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
39,arse,arse,,,sexual anatomy / sexual acts,,,1.0,Mild
40,arse gobbler,arse,,,sexual anatomy / sexual acts,,,2.0,Strong
41,arse hole,arse,,,sexual anatomy / sexual acts,,,1.2,Mild
42,arse-bandit,arse,,,sexual orientation / gender,,,2.0,Strong
43,arse-bandits,arse,,,sexual anatomy / sexual acts,,,2.2,Strong
44,arse-fucker,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
45,arse-fuckers,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
46,arse-hole,arse,,,sexual anatomy / sexual acts,,,1.8,Strong
47,arse-shagger,arse,,,sexual anatomy / sexual acts,,,2.4,Strong
48,arsefuck,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
49,arsefucker,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
50,arsehole,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
51,arseshit,arse,shit,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
52,arsewipe,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
53,ashole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
54,ass,ass,,,sexual anatomy / sexual acts,,,1.0,Mild
55,ass bandit,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
56,ass eating boiolas,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
57,ass eating nob jokeys,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
58,ass fecker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
59,ass fuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
60,ass fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
61,ass fucking boiolas,fuck,ass,boiolas,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
62,ass fucking nob jokeys,fuck,ass,knob,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
63,ass hole,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
64,ass kisser,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
65,ass licking,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
66,ass muncher,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
67,ass-bandit,ass,,,sexual anatomy / sexual acts,,,1.8,Strong
68,ass-fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
69,ass-fuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
70,ass-hole,ass,,,sexual anatomy / sexual acts,,,2.0,Strong
71,asses,ass,,,sexual anatomy / sexual acts,,,1.0,Mild
72,assface,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
73,assfck,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
74,assfcker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
75,assfk,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
76,assfkcer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
77,assfker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
78,assfkr,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
79,assfook,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
80,assfuccer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
81,assfuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
82,assfuck3r,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
83,assfucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
84,assfuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
85,assfuckerz,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
86,assfukah,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
87,assfukka,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
88,assfukker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
89,assfukkerz,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
90,assfvck3r,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
91,assfvcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
92,asshat,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
93,asshol3,ass,,,sexual anatomy / sexual acts,,,1.8,Strong
94,asshole,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
95,asshole fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
96,assholes,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
97,assmunch,ass,,,sexual anatomy / sexual acts,,,1.8,Strong
98,assmuncher,ass,,,sexual anatomy / sexual acts,,,2.2,Strong
99,asswhole,ass,,,sexual anatomy / sexual acts,,,1.4,Mild
100,asswipe,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
101,axe wound,wound,,,sexual anatomy / sexual acts,,,1.2,Mild
102,azz,ass,,,sexual anatomy / sexual acts,,,1.0,Mild
103,azzhole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
104,b to the inch,bitch,,,sexual orientation / gender,,,1.2,Mild
105,b！tch,bitch,,,sexual orientation / gender,,,1.4,Mild
106,b00bz,boobs,,,sexual anatomy / sexual acts,,,1.0,Mild
107,b0llock,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild
108,b0llocks,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild
109,b1+ch,bitch,,,sexual orientation / gender,,,1.0,Mild
110,b17ch,bitch,,,sexual orientation / gender,,,1.4,Mild
111,b1otch,bitch,,,sexual orientation / gender,,,1.4,Mild
112,b1otchs,bitch,,,sexual orientation / gender,,,1.2,Mild
113,b1tch,bitch,,,sexual orientation / gender,,,1.4,Mild
114,b1tch1ng,bitch,,,sexual orientation / gender,,,1.2,Mild
115,b1tch35,bitch,,,sexual orientation / gender,,,1.0,Mild
116,b1tch3s,bitch,,,sexual orientation / gender,,,1.4,Mild
117,b1tchees,bitch,,,sexual orientation / gender,,,1.4,Mild
118,b1tches,bitch,,,sexual orientation / gender,,,1.4,Mild
119,b1tchez,bitch,,,sexual orientation / gender,,,1.2,Mild
121,b1tching,bitch,,,sexual orientation / gender,,,1.2,Mild
122,b1tchs,bitch,,,sexual orientation / gender,,,1.4,Mild
123,b1tchy,bitch,,,sexual orientation / gender,,,1.2,Mild
124,baby batter,baby batter,,,bodily fluids / excrement,,,1.4,Mild
125,ballbag,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild
126,bangbros,bang,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong
134,basturd,bastard,,,bodily fluids / excrement,other / general insult,,1.2,Mild
135,bater,masturbate,,,sexual anatomy / sexual acts,,,1.6,Strong
136,bates,masturbate,,,sexual anatomy / sexual acts,,,1.0,Mild
137,batshit,shit,,,bodily fluids / excrement,animal references,,1.0,Mild
138,batshite,shit,,,bodily fluids / excrement,animal references,,1.2,Mild
139,bbc,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
143,beat my meat,meat,,,sexual anatomy / sexual acts,,,1.2,Mild
144,beat off,beat off,,,sexual anatomy / sexual acts,,,1.2,Mild
145,beat the meat,meat,,,sexual anatomy / sexual acts,,,1.4,Mild
146,beat your meat,meat,,,sexual anatomy / sexual acts,,,1.4,Mild
