token,simple_l2,mlm_simple_l2,int_grad,mlm_int_grad,perturb_proba0,perturb_proba0_change,mlm_perturb_proba0,mlm_perturb_proba0_change
[CLS],0.1087786927819252,0.2604864537715912,0.0306867241465954,0.0126451088361837,,,,
man,0.2831626534461975,0.5813568830490112,-0.074261116718604,-0.0796721462707957,0.0006867442,-0.00011938892,0.0022315504,-7.264502e-05
i,0.1578995138406753,0.271052598953247,0.0637826991081297,0.0348304309898986,0.0007640834,-4.2049738e-05,0.0022635746,-4.06208e-05
love,0.224341481924057,0.4240060746669769,0.3680183795519787,0.3555174722868545,0.0007448299,-6.130326e-05,0.0025501626,0.00024596718
a,0.2265038043260574,0.2760849595069885,0.1935753715929521,0.1794829851857991,0.00072624424,-7.988891e-05,0.0023990122,9.481679e-05
bush,0.6714348793029785,0.9230714440345764,0.2204811814796711,0.0607500254896984,0.0008105681,4.434958e-06,0.002272217,-3.1978358e-05
!,0.2759941816329956,0.560979962348938,0.131700233701424,0.2363183383853244,0.0007950815,-1.1051656e-05,0.0030244817,0.0007202863
u,0.5006222128868103,1.4030630588531494,0.2406355576223956,0.393313856422757,0.0013974448,0.0005913116,0.0041398006,0.0018356051
are,0.2373763173818588,0.5829125046730042,0.043333458335325,-0.0415592603755967,0.0010801182,0.0002739851,0.0028566646,0.00055246917
stunning,0.6959757208824158,1.1273300647735596,0.2328791673136895,0.5713966065722715,0.0061753592,0.005369226,0.02434625,0.022042055
[SEP],0.2344683557748794,0.4519033133983612,0.797868132530674,0.5396466528221303,,,,
unmasked,,,,,0.00080613315,0.0,0.0023041954,0.0
